,Time (ms),V_shunt_1,V_s1 (µV),V_bus_1,V_b1 (mV),I_s1 (µA),P_1 (mW),V_shunt_2,V_s2 (µV),V_bus_2,V_b2 (mV),I_s2 (µA),P_2 (mW)
117,1057,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),430,Vb2(mV),4988,4300.0,21.4484
118,1066,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
119,1075,Vs1(uV),390,Vb1(mV),4988,3900.0,19.4532,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
120,1084,Vs1(uV),370,Vb1(mV),4984,3700.0,18.4408,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
121,1093,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),430,Vb2(mV),4988,4300.0,21.4484
122,1102,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
123,1111,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
124,1120,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),440,Vb2(mV),4992,4400.0,21.9648
125,1128,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),420,Vb2(mV),4992,4200.0,20.9664
126,1136,Vs1(uV),400,Vb1(mV),4984,4000.0,19.936,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
127,1145,Vs1(uV),420,Vb1(mV),4984,4200.0,20.9328,Vs2(uV),400,Vb2(mV),4988,4000.0,19.952
128,1154,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),400,Vb2(mV),4992,4000.0,19.968
129,1163,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),400,Vb2(mV),4988,4000.0,19.952
130,1172,Vs1(uV),370,Vb1(mV),4988,3700.0,18.4556,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
131,1181,Vs1(uV),380,Vb1(mV),4984,3800.0,18.9392,Vs2(uV),430,Vb2(mV),4988,4300.0,21.4484
132,1190,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),400,Vb2(mV),4988,4000.0,19.952
133,1199,Vs1(uV),400,Vb1(mV),4984,4000.0,19.936,Vs2(uV),400,Vb2(mV),4988,4000.0,19.952
134,1208,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),470,Vb2(mV),4988,4700.0,23.4436
135,1217,Vs1(uV),390,Vb1(mV),4988,3900.0,19.4532,Vs2(uV),420,Vb2(mV),4992,4200.0,20.9664
136,1226,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),400,Vb2(mV),4988,4000.0,19.952
137,1234,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),430,Vb2(mV),4988,4300.0,21.4484
138,1244,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
139,1252,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
140,1261,Vs1(uV),390,Vb1(mV),4988,3900.0,19.4532,Vs2(uV),430,Vb2(mV),4988,4300.0,21.4484
141,1270,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
142,1279,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),410,Vb2(mV),4984,4100.0,20.4344
143,1288,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),440,Vb2(mV),4992,4400.0,21.9648
144,1297,Vs1(uV),390,Vb1(mV),4988,3900.0,19.4532,Vs2(uV),410,Vb2(mV),4992,4100.0,20.4672
145,1306,Vs1(uV),390,Vb1(mV),4988,3900.0,19.4532,Vs2(uV),420,Vb2(mV),4992,4200.0,20.9664
146,1315,Vs1(uV),360,Vb1(mV),4988,3600.0,17.9568,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
147,1324,Vs1(uV),370,Vb1(mV),4988,3700.0,18.4556,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
148,1333,Vs1(uV),390,Vb1(mV),4988,3900.0,19.4532,Vs2(uV),440,Vb2(mV),4992,4400.0,21.9648
149,1341,Vs1(uV),400,Vb1(mV),4984,4000.0,19.936,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
