30460541.5 , 2 , 82 , 63858 , 70709 , 0
30476499.3 , 1 , 80 , 199577 , 170387 , 0
30722841.8 , 2 , 82 , 63842 , 70709 , 0
30738798.1 , 1 , 80 , 199569 , 170379 , 0
30985144.2 , 2 , 82 , 63858 , 70709 , 0
31001098.3 , 1 , 80 , 199584 , 170387 , 0
31247437.1 , 2 , 82 , 63850 , 70716 , 0
31263395.2 , 1 , 80 , 199577 , 170387 , 0
31508739.0 , 2 , 82 , 63835 , 70724 , 0
31525694.0 , 1 , 80 , 199691 , 170379 , 0
31771038.4 , 2 , 82 , 63865 , 70693 , 0
31787993.1 , 1 , 80 , 199577 , 170387 , 0
32037328.9 , 2 , 82 , 63842 , 70693 , 0
32050291.0 , 1 , 80 , 199577 , 170394 , 0
32299623.7 , 2 , 82 , 63858 , 70693 , 0
32311591.5 , 1 , 80 , 199584 , 170394 , 0
32561927.9 , 2 , 82 , 63835 , 70693 , 0
32573894.8 , 1 , 80 , 199623 , 170394 , 0
32824221.9 , 2 , 82 , 63865 , 70709 , 0
32840178.3 , 1 , 80 , 199577 , 170394 , 0
33085523.7 , 2 , 82 , 63873 , 70693 , 0
33102478.4 , 1 , 80 , 199577 , 170394 , 0
33348818.1 , 2 , 82 , 63858 , 70701 , 0
33364776.3 , 1 , 80 , 199584 , 170394 , 0
33610121.7 , 2 , 82 , 63842 , 70701 , 0
33627073.7 , 1 , 80 , 199569 , 170394 , 0
33872419.9 , 2 , 82 , 63812 , 70693 , 0
33888377.7 , 1 , 80 , 199584 , 170402 , 0
34134716.1 , 2 , 82 , 63819 , 70693 , 0
34150672.9 , 1 , 80 , 199562 , 170394 , 0
34400007.2 , 2 , 82 , 63842 , 70709 , 0
34412973.7 , 1 , 80 , 199554 , 170394 , 0
34662306.0 , 2 , 82 , 63835 , 70701 , 0
34675273.7 , 1 , 80 , 199577 , 170402 , 0
34924607.7 , 2 , 82 , 63858 , 70693 , 0
34937570.9 , 1 , 80 , 199592 , 170402 , 0
35186903.7 , 2 , 82 , 63865 , 70693 , 0
35202859.6 , 1 , 80 , 199691 , 170402 , 0
35449202.2 , 2 , 82 , 63850 , 70693 , 0
35465160.4 , 1 , 80 , 199584 , 170402 , 0
35711499.9 , 2 , 82 , 63858 , 70701 , 0
35727459.6 , 1 , 80 , 199592 , 170402 , 0
35973800.6 , 2 , 82 , 63873 , 70701 , 0
35989759.3 , 1 , 80 , 199592 , 170410 , 0
36235100.0 , 2 , 82 , 63873 , 70709 , 0
36252054.6 , 1 , 80 , 199600 , 170410 , 0
36497397.6 , 2 , 82 , 63858 , 70693 , 0
36514352.9 , 1 , 80 , 199615 , 170402 , 0
36763687.2 , 2 , 82 , 63888 , 70716 , 0
36776654.0 , 1 , 80 , 199600 , 170410 , 0
37025988.5 , 2 , 82 , 63873 , 70716 , 0
37038951.7 , 1 , 80 , 199600 , 170410 , 0
37288286.3 , 2 , 82 , 63873 , 70716 , 0
37300250.6 , 1 , 80 , 199577 , 170410 , 0
37550582.3 , 2 , 82 , 63858 , 70747 , 0
37566540.1 , 1 , 80 , 199607 , 170417 , 0
37812880.5 , 2 , 82 , 63865 , 70732 , 0
37828838.0 , 1 , 80 , 199569 , 170410 , 0
38075181.3 , 2 , 82 , 63880 , 70739 , 0
38091136.8 , 1 , 80 , 199569 , 170417 , 0
38337479.3 , 2 , 82 , 63896 , 70724 , 0
38353435.0 , 1 , 80 , 199615 , 170417 , 0
38598778.9 , 2 , 82 , 63835 , 70716 , 0
38615733.7 , 1 , 80 , 199600 , 170417 , 0
38861079.1 , 2 , 82 , 63835 , 70732 , 0
38877035.5 , 1 , 80 , 199584 , 170417 , 0
39126368.4 , 2 , 82 , 63850 , 70739 , 0
39139333.7 , 1 , 80 , 199577 , 170425 , 0
39388667.2 , 2 , 82 , 63850 , 70732 , 0
39401631.4 , 1 , 80 , 199607 , 170410 , 0
39650966.8 , 2 , 82 , 63865 , 70762 , 0
39663932.2 , 1 , 80 , 199592 , 170425 , 0
39914262.9 , 2 , 82 , 63835 , 70724 , 0
39929222.0 , 1 , 80 , 199615 , 170425 , 0
40175564.0 , 2 , 82 , 63858 , 70701 , 0
40191520.1 , 1 , 80 , 199607 , 170425 , 0
40437861.2 , 2 , 82 , 63827 , 70724 , 0
40453817.5 , 1 , 80 , 199592 , 170433 , 0
40700159.7 , 2 , 82 , 63858 , 70732 , 0
40716117.0 , 1 , 80 , 199607 , 170433 , 0
40994373.9 , 2 , 82 , 63858 , 70732 , 0
40998364.7 , 1 , 80 , 199600 , 170425 , 0
41223758.7 , 2 , 82 , 63865 , 70755 , 0
41240713.5 , 1 , 80 , 199584 , 170433 , 0
41490046.3 , 2 , 82 , 63842 , 70747 , 0
41503015.6 , 1 , 80 , 199615 , 170425 , 0
41752347.3 , 2 , 82 , 63842 , 70732 , 0
41765312.7 , 1 , 80 , 199623 , 170433 , 0
42014646.2 , 2 , 82 , 63827 , 70739 , 0
42027610.3 , 1 , 80 , 199569 , 170433 , 0
42276942.3 , 2 , 82 , 63850 , 70739 , 0
42288910.4 , 1 , 80 , 199638 , 170433 , 0
42539241.7 , 2 , 82 , 63858 , 70739 , 0
42555199.3 , 1 , 80 , 199615 , 170433 , 0
42809519.6 , 2 , 82 , 63850 , 70716 , 0
42817501.1 , 1 , 80 , 199630 , 170433 , 0
43062841.7 , 2 , 82 , 63827 , 70716 , 0
43079798.3 , 1 , 80 , 199630 , 170440 , 0
43325142.6 , 2 , 82 , 63865 , 70716 , 0
43342095.6 , 1 , 80 , 199661 , 170433 , 0
43587439.3 , 2 , 82 , 63812 , 70732 , 0
43603396.5 , 1 , 80 , 199623 , 170433 , 0
43853727.9 , 2 , 82 , 63873 , 70716 , 0
43866694.1 , 1 , 80 , 199630 , 170433 , 0
44116028.7 , 2 , 82 , 63842 , 70709 , 0
44127992.0 , 1 , 80 , 199607 , 170440 , 0
44377326.2 , 2 , 82 , 63835 , 70709 , 0
44390291.4 , 1 , 80 , 199638 , 170440 , 0
44640625.3 , 2 , 82 , 63842 , 70693 , 0
44652593.7 , 1 , 80 , 199752 , 170440 , 0
44901925.0 , 2 , 82 , 63835 , 70701 , 0
44917881.5 , 1 , 80 , 199623 , 170433 , 0
45165222.0 , 2 , 82 , 63842 , 70739 , 0
45180178.5 , 1 , 80 , 199607 , 170433 , 0
45426521.2 , 2 , 82 , 63858 , 70732 , 0
45442477.3 , 1 , 80 , 199638 , 170448 , 0
45688819.1 , 2 , 82 , 63858 , 70724 , 0
45704776.0 , 1 , 79 , 199646 , 170440 , 0
45951118.2 , 2 , 82 , 63835 , 70709 , 0
45967075.3 , 1 , 79 , 199638 , 170448 , 0
46216409.5 , 2 , 82 , 63858 , 70701 , 0
46229374.1 , 1 , 79 , 199638 , 170448 , 0
46478706.7 , 2 , 82 , 63835 , 70709 , 0
46491672.4 , 1 , 79 , 199684 , 170448 , 0
46741007.7 , 2 , 82 , 63819 , 70701 , 0
46752977.6 , 1 , 79 , 199638 , 170448 , 0
47003307.7 , 2 , 82 , 63812 , 70709 , 0
47015271.2 , 1 , 79 , 199638 , 170448 , 0
47265602.0 , 2 , 82 , 63858 , 70732 , 0
47281559.8 , 1 , 79 , 199600 , 170440 , 0
47527901.6 , 2 , 82 , 63865 , 70716 , 0
47543858.6 , 1 , 79 , 199630 , 170448 , 0
47790200.8 , 2 , 82 , 63842 , 70724 , 0
47806160.1 , 1 , 79 , 199600 , 170440 , 0
48051501.8 , 2 , 82 , 63827 , 70724 , 0
48068457.2 , 1 , 79 , 199630 , 170455 , 0
48313799.0 , 2 , 82 , 63858 , 70732 , 0
48330754.1 , 1 , 79 , 199600 , 170448 , 0
48580087.4 , 2 , 82 , 63842 , 70739 , 0
48592055.4 , 1 , 79 , 199646 , 170448 , 0
48842387.3 , 2 , 82 , 63835 , 70732 , 0
48855353.8 , 1 , 79 , 199775 , 170455 , 0
49104687.1 , 2 , 82 , 63835 , 70739 , 0
49116651.8 , 1 , 79 , 199607 , 170455 , 0
49366982.5 , 2 , 82 , 63850 , 70732 , 0
49378952.2 , 1 , 79 , 199653 , 170455 , 0
49628283.5 , 2 , 82 , 63819 , 70724 , 0
49644243.4 , 1 , 79 , 199623 , 170463 , 0
49890583.6 , 2 , 82 , 63880 , 70724 , 0
49906540.9 , 1 , 79 , 199615 , 170463 , 0
50155878.0 , 2 , 82 , 63858 , 70732 , 0
50171832.0 , 1 , 79 , 199615 , 170463 , 0
50415180.3 , 2 , 82 , 63819 , 70724 , 0
50431139.0 , 1 , 79 , 199646 , 170463 , 0
50680471.9 , 2 , 82 , 63842 , 70732 , 0
50694434.8 , 1 , 79 , 199722 , 170463 , 0
50942771.0 , 2 , 82 , 63835 , 70716 , 0
50955740.5 , 1 , 79 , 199684 , 170455 , 0
51205069.2 , 2 , 82 , 63850 , 70701 , 0
51218032.2 , 1 , 79 , 199592 , 170463 , 0
51467366.9 , 2 , 82 , 63835 , 70709 , 0
51480332.4 , 1 , 79 , 199661 , 170463 , 0
51729665.4 , 2 , 82 , 63827 , 70709 , 0
51742632.0 , 1 , 79 , 199661 , 170478 , 0
51991965.2 , 2 , 82 , 63842 , 70716 , 0
52007923.8 , 1 , 79 , 199668 , 170463 , 0
52254261.5 , 2 , 82 , 63850 , 70701 , 0
52270221.2 , 1 , 79 , 199668 , 170471 , 0
52515564.1 , 2 , 82 , 63865 , 70693 , 0
52532517.9 , 1 , 79 , 199707 , 170471 , 0
52778859.1 , 2 , 82 , 63804 , 70716 , 0
52794817.5 , 1 , 79 , 199668 , 170471 , 0
53044152.4 , 2 , 82 , 63842 , 70709 , 0
53057116.5 , 1 , 79 , 199676 , 170471 , 0
53306449.0 , 2 , 82 , 63842 , 70693 , 0
53318416.6 , 1 , 79 , 199699 , 170463 , 0
53568747.2 , 2 , 82 , 63804 , 70701 , 0
53581713.0 , 1 , 79 , 199661 , 170463 , 0
53831047.3 , 2 , 82 , 63858 , 70701 , 0
53844025.6 , 1 , 79 , 199676 , 170471 , 0
54093347.5 , 2 , 82 , 63827 , 70709 , 0
54105311.5 , 1 , 79 , 199646 , 170471 , 0
54354645.7 , 2 , 82 , 63835 , 70693 , 0
54371599.9 , 1 , 79 , 199676 , 170478 , 0
54616944.5 , 2 , 82 , 63842 , 70693 , 0
54633898.9 , 1 , 79 , 199668 , 170478 , 0
54879244.0 , 2 , 82 , 63858 , 70693 , 0
54896198.7 , 1 , 79 , 199676 , 170486 , 0
55141542.0 , 2 , 82 , 63812 , 70693 , 0
55158495.9 , 1 , 79 , 199668 , 170478 , 0
55406833.1 , 2 , 82 , 63827 , 70693 , 0
55419798.2 , 1 , 79 , 199630 , 170471 , 0
55670129.4 , 2 , 82 , 63804 , 70678 , 0
55683093.4 , 1 , 79 , 199684 , 170478 , 0
55932427.1 , 2 , 82 , 63812 , 70678 , 0
55944396.7 , 1 , 79 , 199684 , 170478 , 0
56194725.5 , 2 , 82 , 63835 , 70693 , 0
56206692.2 , 1 , 79 , 199676 , 170478 , 0
56456026.5 , 2 , 82 , 63835 , 70693 , 0
56468992.5 , 1 , 79 , 199691 , 170486 , 0
56718324.7 , 2 , 82 , 63819 , 70693 , 0
56734283.3 , 1 , 79 , 199600 , 170478 , 0
56980623.0 , 2 , 82 , 63819 , 70709 , 0
56997580.8 , 1 , 79 , 199684 , 170486 , 0
57242921.8 , 2 , 82 , 63812 , 70693 , 0
57258880.2 , 1 , 79 , 199676 , 170486 , 0
57505220.8 , 2 , 82 , 63827 , 70693 , 0
57521178.8 , 1 , 79 , 199691 , 170486 , 0
57770511.5 , 2 , 82 , 63819 , 70693 , 0
57783478.0 , 1 , 79 , 199684 , 170486 , 0
58032810.7 , 2 , 82 , 63796 , 70701 , 0
58045784.8 , 1 , 79 , 199806 , 170486 , 0
58295108.1 , 2 , 82 , 63804 , 70693 , 0
58308073.0 , 1 , 79 , 199668 , 170494 , 0
58557406.2 , 2 , 82 , 63835 , 70701 , 0
58570372.1 , 1 , 79 , 199646 , 170478 , 0
58819705.0 , 2 , 82 , 63819 , 70693 , 0
58835663.7 , 1 , 79 , 199684 , 170486 , 0
59082006.4 , 2 , 82 , 63812 , 70686 , 0
59097963.3 , 1 , 79 , 199668 , 170486 , 0
59344302.5 , 2 , 82 , 63827 , 70709 , 0
59360259.4 , 1 , 79 , 199646 , 170486 , 0
59606601.6 , 2 , 82 , 63880 , 70716 , 0
59622560.6 , 1 , 79 , 199699 , 170486 , 0
59871892.3 , 2 , 82 , 63850 , 70709 , 0
59884862.1 , 1 , 79 , 199691 , 170486 , 0
60134194.3 , 2 , 82 , 63789 , 70686 , 0
60147156.4 , 1 , 79 , 199684 , 170486 , 0
60396489.5 , 2 , 82 , 63789 , 70693 , 0
60408460.7 , 1 , 79 , 199691 , 170494 , 0
60658788.1 , 2 , 82 , 63827 , 70693 , 0
60671753.1 , 1 , 79 , 199729 , 170494 , 0
60921087.5 , 2 , 82 , 63781 , 70693 , 0
60934052.5 , 1 , 79 , 199684 , 170494 , 0
61196352.5 , 2 , 82 , 63796 , 70693 , 0
61203333.1 , 1 , 79 , 199699 , 170494 , 0
61444685.5 , 2 , 82 , 63804 , 70716 , 0
61460643.5 , 1 , 79 , 199691 , 170494 , 0
61706986.9 , 2 , 82 , 63850 , 70709 , 0
61723939.5 , 1 , 79 , 199699 , 170501 , 0
61969308.5 , 2 , 82 , 63796 , 70701 , 0
61985240.4 , 1 , 79 , 199699 , 170494 , 0
62234584.1 , 2 , 82 , 63804 , 70693 , 0
